Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
GA,"White County, GA","15,836",430,2.6
GA,"Whitfield County, GA","41,637","1,927",4.4
GA,"Wilcox County, GA","2,575",120,4.5
GA,"Wilkes County, GA","3,650",173,4.5
GA,"Wilkinson County, GA","3,808",151,3.8
GA,"Worth County, GA","8,552",345,3.9
HI,Hawaii,"646,973","18,019",2.7
HI,"Hawaii County, HI","88,018","3,143",3.4
HI,"Honolulu County/city, HI","438,936","11,626",2.6
HI,"Kauai County, HI","35,558",978,2.7
HI,"Maui County, HI","84,461","2,272",2.6
ID,Idaho,"856,245","25,646",2.9
ID,"Ada County, ID","247,855","6,369",2.5
ID,"Adams County, ID","1,604",117,6.8
ID,"Bannock County, ID","41,546","1,206",2.8
ID,"Bear Lake County, ID","2,891",87,2.9
ID,"Benewah County, ID","3,894",215,5.2
ID,"Bingham County, ID","23,182",635,2.7
ID,"Blaine County, ID","11,995",323,2.6
ID,"Boise County, ID","3,365",151,4.3
ID,"Bonner County, ID","19,222",836,4.2
